,Ticket,Actual EPS,Bloomberg Estimated EPS,Announcement Date,Start,End
39,AKAM UW Equity,0.33,0.604,7/25/17,2/1/17,1/16/18
40,AL UN Equity,0.98,0.855,8/3/17,2/10/17,1/25/18
41,ALB UN Equity,0.93,1.103,8/7/17,2/14/17,1/29/18
42,ALGN UW Equity,0.86,0.728,7/27/17,2/3/17,1/18/18
43,ALK UN Equity,2.37,2.518,7/26/17,2/2/17,1/17/18
44,ALKS UW Equity,-0.28,-0.006,7/27/17,2/3/17,1/18/18
45,ALL UN Equity,1.51,0.869,8/1/17,2/8/17,1/23/18
46,ALLE UN Equity,1.11,1.002,7/27/17,2/3/17,1/18/18
47,ALLY UN Equity,0.55,0.524,7/27/17,2/3/17,1/18/18
48,ALNY UW Equity,-1.34,-1.179,8/9/17,2/16/17,1/31/18
49,ALSN UN Equity,0.63,0.706,7/31/17,2/7/17,1/22/18
50,ALXN UW Equity,0.74,1.255,7/27/17,2/3/17,1/18/18
51,AMAT UW Equity,0.76,0.765,5/18/17,11/23/16,11/7/17
52,AMCX UW Equity,1.55,1.389,8/3/17,2/10/17,1/25/18
53,AMD UW Equity,-0.04,0.001,7/25/17,2/1/17,1/16/18
54,AME UN Equity,0.65,0.623,8/2/17,2/9/17,1/24/18
55,AMG UN Equity,2.24,3.241,7/31/17,2/7/17,1/22/18
56,AMGN UW Equity,2.93,3.108,7/25/17,2/1/17,1/16/18
57,AMH UN Equity,0,0.013,8/3/17,2/10/17,1/25/18
58,AMP UN Equity,2.53,2.624,7/25/17,2/1/17,1/16/18
59,AMT UN Equity,0.81,0.742,7/27/17,2/3/17,1/18/18
60,AMTD UW Equity,0.41,0.407,4/19/17,10/25/16,10/9/17
61,AMZN UW Equity,0.41,3.044,7/27/17,2/3/17,1/18/18
62,AN UN Equity,0.87,0.972,8/2/17,2/9/17,1/24/18
64,ANET UN Equity,1.42,0.948,8/3/17,2/10/17,1/25/18
65,ANSS UW Equity,0.82,0.914,8/2/17,2/9/17,1/24/18
66,ANTM UN Equity,3.23,3.233,7/26/17,2/2/17,1/17/18
67,AON UN Equity,2.93,1.446,8/4/17,2/13/17,1/26/18
68,AOS UN Equity,0.53,0.528,7/26/17,2/2/17,1/17/18
69,APA UN Equity,1.5,-0.021,8/3/17,2/10/17,1/25/18
70,APC UN Equity,-0.76,-0.332,7/24/17,1/31/17,1/12/18
71,APD UN Equity,9.78,1.378,4/27/17,11/2/16,10/17/17
72,APH UN Equity,0.82,0.721,7/26/17,2/2/17,1/17/18
73,APLE UN Equity,0.39,0.355,8/7/17,2/14/17,1/29/18
76,AR UN Equity,-0.02,0.029,8/2/17,2/9/17,1/24/18
78,ARE UN Equity,0.35,0.432,7/31/17,2/7/17,1/22/18
79,ARMK UN Equity,0.29,0.426,5/9/17,11/14/16,10/27/17
80,ARNC UN Equity,0.44,0.27,7/24/17,1/31/17,1/12/18
81,ARRS UW Equity,0.16,0.573,8/2/17,2/9/17,1/24/18
82,ARW UN Equity,1.12,1.772,8/3/17,2/10/17,1/25/18
83,ASB UN Equity,0.36,0.359,7/20/17,1/27/17,1/10/18
84,ASH UN Equity,1.48,1.611,4/25/17,10/31/16,10/13/17
85,ATH UN Equity,1.66564,1.077,8/9/17,2/16/17,1/31/18
86,ATHN UW Equity,0.25,0.392,7/20/17,1/27/17,1/10/18
87,ATO UN Equity,1.55,1.425,5/3/17,11/8/16,10/23/17
88,ATR UN Equity,1.04,0.958,7/27/17,2/3/17,1/18/18
89,ATVI UW Equity,0.32,0.304,8/3/17,2/10/17,1/25/18
90,AVB UN Equity,1.2,1.1,8/2/17,2/9/17,1/24/18
91,AVGO UW Equity,1.09,3.501,6/1/17,12/7/16,11/20/17
92,AVT UW Equity,0.8,0.751,1/26/17,8/4/16,7/19/17
93,AVY UN Equity,1.37,1.209,7/25/17,2/1/17,1/16/18
94,AWI UN Equity,0.77,0.666,7/31/17,2/7/17,1/22/18
95,AWK UN Equity,0.74,0.792,8/2/17,2/9/17,1/24/18
96,AXP UN Equity,1.48,1.439,7/19/17,1/26/17,1/9/18
